p cnf 338 146
1 2 4097 0
6 7 4098 0
11 12 4099 0
16 17 4100 0
26 27 4101 0
31 32 4102 0
36 37 4103 0
41 42 4104 0
51 52 4105 0
56 57 4106 0
61 62 4107 0
66 67 4108 0
76 77 4109 0
81 82 4110 0
86 87 4111 0
91 92 4112 0
-1 -6 4113 0
-2 -7 4115 0
-3 -8 4117 0
-4 -9 4119 0
-26 -31 4121 0
-27 -32 4123 0
-28 -33 4125 0
-29 -34 4127 0
-51 -56 4129 0
-52 -57 4131 0
-53 -58 4133 0
-54 -59 4135 0
-76 -81 4137 0
-77 -82 4139 0
-78 -83 4141 0
-79 -84 4143 0
-1 -26 4145 0
-2 -27 4147 0
-3 -28 4149 0
-4 -29 4151 0
-6 -31 4153 0
-7 -32 4155 0
-8 -33 4157 0
-9 -34 4159 0
-11 -36 4161 0
-12 -37 4163 0
-13 -38 4165 0
-14 -39 4167 0
-16 -41 4169 0
-17 -42 4171 0
-18 -43 4173 0
-19 -44 4175 0
-81 -1 4177 0
-26 -1 4178 0
-31 -1 4179 0
-32 -2 4180 0
-27 -2 4181 0
-33 -3 4182 0
-28 -3 4183 0
-34 -4 4184 0
-29 -4 4185 0
-4097 3 4 0
-4098 8 9 0
-4099 13 14 0
-4100 18 19 0
-4101 28 29 0
-4102 33 34 0
-4103 38 39 0
-4104 43 44 0
-4105 53 54 0
-4106 58 59 0
-4107 63 64 0
-4108 68 69 0
-4109 78 79 0
-4110 83 84 0
-4111 88 89 0
-4112 93 94 0
-4113 -11 4114 0
-4114 -16 -21 0
-4115 -12 4116 0
-4116 -17 -22 0
-4117 -13 4118 0
-4118 -18 -23 0
-4119 -14 4120 0
-4120 -19 -24 0
-4121 -36 4122 0
-4122 -41 -46 0
-4123 -37 4124 0
-4124 -42 -47 0
-4125 -38 4126 0
-4126 -43 -48 0
-4127 -39 4128 0
-4128 -44 -49 0
-4129 -61 4130 0
-4130 -66 -71 0
-4131 -62 4132 0
-4132 -67 -72 0
-4133 -63 4134 0
-4134 -68 -73 0
-4135 -64 4136 0
-4136 -69 -74 0
-4137 -86 4138 0
-4138 -91 -96 0
-4139 -87 4140 0
-4140 -92 -97 0
-4141 -88 4142 0
-4142 -93 -98 0
-4143 -89 4144 0
-4144 -94 -99 0
-4145 -51 4146 0
-4146 -76 -101 0
-4147 -52 4148 0
-4148 -77 -102 0
-4149 -53 4150 0
-4150 -78 -103 0
-4151 -54 4152 0
-4152 -79 -104 0
-4153 -56 4154 0
-4154 -81 -106 0
-4155 -57 4156 0
-4156 -82 -107 0
-4157 -58 4158 0
-4158 -83 -108 0
-4159 -59 4160 0
-4160 -84 -109 0
-4161 -61 4162 0
-4162 -86 -111 0
-4163 -62 4164 0
-4164 -87 -112 0
-4165 -63 4166 0
-4166 -88 -113 0
-4167 -64 4168 0
-4168 -89 -114 0
-4169 -66 4170 0
-4170 -91 -116 0
-4171 -67 4172 0
-4172 -92 -117 0
-4173 -68 4174 0
-4174 -93 -118 0
-4175 -69 4176 0
-4176 -94 -119 0
-81 -1 -4177 0
-26 -1 -4178 0
-31 -1 -4179 0
-32 -2 -4180 0
-27 -2 -4181 0
-33 -3 -4182 0
-28 -3 -4183 0
-34 -4 -4184 0
-29 -4 -4185 0
